Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Investigation reason),Custom field (Issue color),Custom field (Operational categorization),Custom field (Organizations),Custom field (Pending reason),Custom field (Product categorization),Custom field (Production Outage Severity),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Root cause),Satisfaction rating,Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story point estimate),Custom field (Urgency),Custom field (Workaround),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Walden University - BS Psychology Select Leads,HE-1081,12111,Incident,Under Progress,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b48c306b84bc45fea95fb34,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b48c306b84bc45fea95fb34,19/Mar/19 11:03 AM,19/Mar/19 11:04 AM,19/Mar/19 1:06 PM,,,0,Admin,DSA,EDUdirect,Select,,,,,,,,,,,,"Hi,

I capped the following two BS - Psychology programs for Walden, but it seems we are still getting leads.  We should only be getting BS - Psychology leads for Exclusive.

Can you please verify that these two programs are not being shown on the Select widget?

BS - Psychology: General Psychology
BS - Psychology: Applied Psychology


Thanks,
Becky ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00cfr:,he/457cf4ff-c199-4783-a7b3-e41988aa1f15,English,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c0944fa6b98a11ccd365330(qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c0944fa6b98a11ccd365330),,,,,,Degradation of Service,,,,,,2019-03-19 16:03:12.224,19/Mar/19 11:03 AM;dacosta;This issue requires your attention. [~mcomardo],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Pinterest HTML Tag to BC,HE-1080,12109,Service Request,In Progress,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,syncbot,syncbot,18/Mar/19 4:17 PM,19/Mar/19 8:13 AM,19/Mar/19 1:06 PM,,,0,,,,,,,,,,,,,,,,"We are launching a pinterest page for BestColleges. While this may seem like an odd place for our brand there is actually a large thirst for education content on the site. ASO's pinterest got over 40k impressions last month with about a third of the content that BC has. We are hoping this can become a great new source of traffic for BC. 

To verify our website’s authenticity we need to claim the BC website. When done, our profile picture will show up next to any Pins that come from our site, and a small globe icon will appear to the left of our website’s URL on our profile. Truly, these just gives our Pinterest Profile more authority and shows we are indeed connected to the BC site.

In order to ""claim"" our website on Pinterest and prove that we are the owners of the site, we need to add the following HTML tag to BestColleges.com. 

*Below you will find the instructions:*

Add HTML tag
Paste this tag into the <head> section of your site’s index.html file

<meta name=""p:domain_verify"" content=""b9313302259eb23861402e33b95a201c""/>",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00cfb:,,English,,,,,,,,,,,,,2019-03-18 21:17:43.225,18/Mar/19 4:17 PM;dacosta;This issue requires your attention. [~mcomardo],"18/Mar/19 4:17 PM;syncbot;➤ {color:#999999}_Caitlin McAninch commented:_{color}

Eric Rasch (away) ( https://app.asana.com/0/221958638007097/list ) - 

Sorry! New to Asana. Created the new Task here. 
Please let me know if you have any questions.

Caitlin","18/Mar/19 4:17 PM;syncbot;➤ {color:#999999}_Emily Maddox commented:_{color}

Hi Caitlin McAninch ( https://app.asana.com/0/1110705961399246/list ), here is our ticket filing process: https://docs.google.com/document/d/1Peshx7cCF-tkMvqw0jxGM2gI1Fdh4GRtqBZhMhUpdlE/edit#heading=h.djqc8k4mckj3

Going to assign this over to me to prioritize with Eric and team. Can you please let us know priority/deadline here?","18/Mar/19 4:17 PM;syncbot;➤ {color:#999999}_Caitlin McAninch commented:_{color}

Hi Emily Maddox ( https://app.asana.com/0/106813058990697/list )!
Thanks for linking that here.

This would be a medium priority, with a deadline of March 20.
Thanks!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AccreditedSchoolsOnline.org, the Privacy link in the footer goes to the wrong url on 404 error pages. It is correct in the footer on non-404 pages.",HE-1079,12108,Incident,Under Progress,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c38b286e186550b0adff826,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c38b286e186550b0adff826,18/Mar/19 3:05 PM,19/Mar/19 10:27 AM,19/Mar/19 1:06 PM,,,0,404,AccreditedSchoolsOnline.org,Frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Mar/19 3:04 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c38b286e186550b0adff826;broken-privacy-link-404-footer.png;https://highereducation.atlassian.net/secure/attachment/10340/broken-privacy-link-404-footer.png,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00cf3:,he/09f1f327-dcaa-4493-a28b-5d098f595273,English,,,,,,,Minor Incident,,,,,,2019-03-18 20:05:19.582,"18/Mar/19 3:05 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c38b286e186550b0adff826;

!broken-privacy-link-404-footer.png|thumbnail!",18/Mar/19 3:05 PM;dacosta;This issue requires your attention. [~mcomardo],"18/Mar/19 3:51 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c38b286e186550b0adff826;It looks like this problem is more widespread than just on the 404 error pages. I've compiled a list of urls that have the incorrect privacy url in the footer here:
https://docs.google.com/spreadsheets/d/10uQ1RMFxLVNCk-6ohcJkrGr_x4StyFBeYaWhEIvwKBE/edit?usp=sharing

Thanks!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topmedicalassistantschools.com - No directory link,HE-1078,12107,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b48d4befc9d8158972ce6ea,syncbot,18/Mar/19 2:15 PM,18/Mar/19 3:32 PM,19/Mar/19 1:06 PM,18/Mar/19 3:31 PM,,0,,,,,,,,,,,,,,,,"*PC: Chrome/Mobile: IOS6**Safari* No directory link
+https://www.topmedicalassistantschools.com/top-50-health-care-jobs/+",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00cev:,,English,,,,,,,,,,,,,2019-03-18 19:15:54.459,18/Mar/19 2:15 PM;dacosta;This issue requires your attention. [~mcomardo],"18/Mar/19 3:31 PM;dacosta;This is an affiliate site, and as such, they decide where to place the monetization. Thank you for reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Widget dropdowns doesn't work,HE-1077,12104,Incident,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,High,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca99f0b2e373f9f726c,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca99f0b2e373f9f726c,18/Mar/19 2:30 AM,18/Mar/19 8:23 PM,19/Mar/19 1:06 PM,,,0,AppliedBehaviorAnalysisPrograms.com,Incident,Widgets,,,,,,,,,,,,,"Widget drop downs don't work 9 out 10 hard refreshes on Chrome. Also doesn't work on Edge

https://www.appliedbehavioranalysisprograms.com/rankings/applied-behavior-analysis-online-programs/",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00ce7:,he/457cf4ff-c199-4783-a7b3-e41988aa1f15,English,,,,,,,Production Outage,,,,,,2019-03-18 07:30:51.971,18/Mar/19 2:30 AM;dacosta;This issue requires your attention. [~mcomardo],"18/Mar/19 12:59 PM;dacosta;I'm having trouble trying to replicate this issue. When it did happen, it appears as a problem of the Query for the quick degree finder.

However, this is an affiliate site and they must review this error.","18/Mar/19 1:28 PM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

Emma Bergeson ( https://app.asana.com/0/1104650288717906/list ) can you replicate the issue and pass along to the affiliate?","18/Mar/19 8:23 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca14f37f144ac72f010;Hi David!

the widget is missing on the page is this due to the fix? Thanks!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directory link 404,HE-1076,12103,Incident,Awaiting Customer Rating,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,High,Done,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca99f0b2e373f9f726c,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c58bca99f0b2e373f9f726c,18/Mar/19 2:22 AM,18/Mar/19 1:34 PM,19/Mar/19 1:06 PM,18/Mar/19 1:34 PM,,0,404,BestValueSchools.com,Incident,,,,,,,,,,,,,"Everest directory link is 404

bestvalueschools.com/computer-science-degrees-best-roi",,dacosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00cdz:,he/457cf4ff-c199-4783-a7b3-e41988aa1f15,English,,,,,,,Production Outage,,,,,,2019-03-18 07:22:32.92,18/Mar/19 2:22 AM;dacosta;This issue requires your attention. [~mcomardo],"18/Mar/19 1:34 PM;dacosta;Great find! This link was removed, as Everest no longer has forms. Thank you for reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Contact Us Button - Computerscience.org,HE-1075,12102,Incident,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,High,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36456ab393bf4ce9562b43,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36456ab393bf4ce9562b43,15/Mar/19 3:30 PM,19/Mar/19 10:10 AM,19/Mar/19 1:06 PM,,,0,ComputerScience.org,Contact,Content,Frontend,ServiceRequest,,,,,,,,,,,"As reported by [Joe Krivich|https://app.asana.com/0/878670643151947/]
When testing the Computerscience.org contact us page, the submit button is not working.",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00cdr:,he/457cf4ff-c199-4783-a7b3-e41988aa1f15,English,,,,,,,Product Malfunction,,,,,,2019-03-15 20:31:00.874,15/Mar/19 3:31 PM;dacosta;This issue requires your attention. [~mcomardo],15/Mar/19 3:31 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c36456ab393bf4ce9562b43;https://www.computerscience.org/contact/,15/Mar/19 4:00 PM;dacosta;This issue requires your attention. [~dacosta],15/Mar/19 4:01 PM;dacosta;This issue requires your attention. [~jvalencia],18/Mar/19 11:18 AM;dacosta;I'm escalating this to Frontend teams.,"19/Mar/19 10:05 AM;syncbot;➤ {color:#999999}_Eric Rasch commented:_{color}

We're in the middle of converting this site to JAMstack. I'll have fmixell@highereducation.com ( https://app.asana.com/0/1112729989023138/list ) be sure to convert the form to our new format and get it working.","19/Mar/19 10:10 AM;syncbot;➤ {color:#999999}_Joe Krivich commented:_{color}

Thank you, Eric Rasch ( https://app.asana.com/0/221958638007097/list )!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alliedhealthinstitute.edu - Error URL,HE-1074,12101,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dosorio,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b48d4befc9d8158972ce6ea,syncbot,15/Mar/19 2:30 PM,19/Mar/19 2:18 AM,19/Mar/19 1:06 PM,15/Mar/19 3:03 PM,,0,404,alliedhealthinstitute.edu,ChromeBrowser,EdgeBrowser,FP,links,Offshore,ServiceRequest,URL,,,,,,,"*PC:* Chrome - ERROR URL 
http://www.alliedhealthinstitute.edu/
*Picture :* https://docs.google.com/document/d/1KEQBEeYLQbQsXZxv2814UJGaGOHAGnQKN66yAQi6R00/edit",,dacosta,dosorio,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00cdj:,,English,,,,,,,,,,,,,2019-03-15 19:30:18.196,15/Mar/19 2:30 PM;dacosta;This issue requires your attention. [~mcomardo],"15/Mar/19 3:02 PM;dosorio;Hello Team

Thanks for noticing this error, however at this moment, this URL not defined as a Higher Education publisher nor as associate publisher. That being said we can't solve this issue from our side.

Regards
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edit Walden ad block on nursingschools.net,HE-1073,12099,Service Request,Awaiting Customer Rating,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,High,Done,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538,15/Mar/19 12:53 PM,19/Mar/19 2:19 AM,19/Mar/19 1:06 PM,18/Mar/19 4:02 PM,,0,Compliance,Frontend,Monetization,Schools,ServiceRequest,,,,,,,,,,,"Please remove the phrase ""the largest"" from Walden's ad block description on nursingschools.net pages

example pages: 
http://www.nursingschools.net/profiles/nursing-informatics-2/
http://www.nursingschools.net/profiles/pediatric-endocrinology-nurse/
http://www.nursingschools.net/profiles/cardiac-care-nurse/",,dacosta,,,,,,,,,,,,,15/Mar/19 12:43 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538;Screen Shot 2019-03-15 at 10.37.24 AM.png;https://highereducation.atlassian.net/secure/attachment/10339/Screen+Shot+2019-03-15+at+10.37.24+AM.png,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00cd3:,he/0945967d-c632-4593-aba1-64e6117d6e5e,English,,,,,,,,,,,,,2019-03-15 17:53:27.395,"15/Mar/19 12:53 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538;

!Screen Shot 2019-03-15 at 10.37.24 AM.png|thumbnail!",15/Mar/19 12:53 PM;dacosta;This issue requires your attention. [~mcomardo],"18/Mar/19 9:48 AM;dacosta;Hello [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5c51df8c7f1b2543d2860538]
I just sent the PR to Frontend for review",18/Mar/19 4:01 PM;dacosta;PR is live!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add to dropdown menu,HE-1072,12098,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,Done,dacosta,syncbot,syncbot,15/Mar/19 8:16 AM,18/Mar/19 10:15 AM,19/Mar/19 1:06 PM,18/Mar/19 10:03 AM,,0,Frontend,ServiceRequest,SocialWork.org,,,,,,,,,,,,,Add https://www.socialwork.org/online-degrees/top-online-masters-in-social-work-programs/ to Degrees dropdown,,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,More info required,,,0|i00ccv:,,English,,,,,,,,,,,,,2019-03-15 13:16:01.501,15/Mar/19 8:16 AM;dacosta;This issue requires your attention. [~mcomardo],"15/Mar/19 8:16 AM;syncbot;➤ {color:#999999}_Megan Filbin commented:_{color}

Dave@Cafeto ( https://app.asana.com/0/623227981136756/list ) - Could you take a look at this and send to the front end team for review","15/Mar/19 1:18 PM;syncbot;➤ {color:#999999}_Wayne Downs commented:_{color}

Dave@Cafeto ( https://app.asana.com/0/623227981136756/list ) Sorry for the delayed response. This is supposed to be added to, only, no replacements / or removals","15/Mar/19 2:17 PM;dacosta;Thanks for the extra info! PR sent for Frontend review, I'll let you know when it is live. ",18/Mar/19 10:03 AM;dacosta;This change is now live!,"18/Mar/19 10:15 AM;syncbot;➤ {color:#999999}_Wayne Downs commented:_{color}

THANKS, everyone!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
